Ad account,Currency,Reporting starts,Reporting ends,Campaign name,Campaign delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent,Ends,Impressions,CPM,Link clicks,shop_clicks,CPC (link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Landing page views,Cost per landing page view,Results (initial),Results (initial) indicator
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""IGNITE"" Release (Boost)",completed,7-day click or 1-day view,6672,video_thruplay_watched_actions,26707,1.011607,0.01498801,100,Lifetime,100,2023-10-11,27017,3.701373,41,,2.439024,0.151756,120,0.444165,0.833333,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""IMYCELIUM SOUND PT. 1"" Release (Boost)",completed,7-day click or 1-day view,6493,video_thruplay_watched_actions,25437,1.192358,0.0154012,100,Lifetime,100,2023-10-26,30330,3.297066,167,,0.598802,0.55061,544,1.793604,0.183824,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""MYCELIUM SOUND PT. 1"" Release (Video Views)",completed,7-day click or 1-day view,7870,video_thruplay_watched_actions,43286,1.235064,0.0317662,250,Lifetime,250,2023-10-26,53461,4.676306,247,,1.012146,0.462019,689,1.28879,0.362845,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""MYCELIUM SOUND PT. 2"" Release (Video Views)",completed,7-day click or 1-day view,6520,video_thruplay_watched_actions,30506,1.247197,0.02300613,150,Lifetime,150,2023-11-01,38047,3.942492,183,,0.819672,0.480984,803,2.110547,0.1868,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""IMYCELIUM SOUND PT. 2"" Release (Boost)",completed,7-day click or 1-day view,5078,video_thruplay_watched_actions,20939,1.077224,0.01969279,100,Lifetime,100,2023-11-01,22556,4.43341,70,,1.428571,0.310339,238,1.055152,0.420168,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,HE$H - SHOCK THERAPY EP Release (Video Views),not_delivering,7-day click or 1-day view,5488,video_thruplay_watched_actions,29397,1.694901,0.04555394,Using ad set budget,0,250,2023-12-13,49825,5.017561,283,,0.883392,0.567988,1076,2.159558,0.232342,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,HE$H - SHOCK THERAPY EP Release (Boost),not_delivering,7-day click or 1-day view,9797,actions:post_engagement,15118,1.780923,0.01020721,100,Lifetime,100,2023-12-13,26924,3.714158,225,,0.444444,0.835686,890,3.305601,0.11236,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey x Virus Syndicate ""Terror Dome"" (Video Views)",completed,7-day click or 1-day view,5159,video_thruplay_watched_actions,28117,1.583277,0.048459,Using ad set budget,0,250,2024-03-13,44517,5.615832,145,,1.724138,0.325718,599,1.345553,0.417362,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey x Virus Syndicate - ""Terror Dome"" Release (Boost)",completed,7-day click or 1-day view,10593,actions:post_engagement,17082,1.311029,0.0094402,Using ad set budget,0,100,2024-03-13,22395,4.465282,105,,0.952381,0.468855,329,1.469078,0.303951,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,Ghengar - Click (Video Views),completed,7-day click or 1-day view,114650,reach,114650,1.044483,2.1805495,Using ad set budget,0,250,2024-04-10,119750,2.087683,283,,0.883392,0.236326,667,0.556994,0.374813,,,,
